timestamp,temperature,humidity,wind_speed,wind_direction,pressure,precipitation_rate,uv_index,solar_radiation
2025-04-13 00:04:56,9.5,81.4,6.115492,238,1005.75783,0.0,0.0,0.0
2025-04-13 00:09:43,9.5,81.9,3.21868,223,1005.75783,0.0,0.0,0.0
2025-04-13 00:14:58,9.444444444444445,82.0,2.2530759999999996,238,1005.4191910000001,0.0,0.0,0.0
2025-04-13 00:19:49,9.444444444444445,82.0,4.345218,219,1005.4191910000001,0.0,0.0,0.0
2025-04-13 00:24:51,9.555555555555557,82.0,2.735878,234,1005.4191910000001,0.0,0.0,0.0
2025-04-13 00:29:54,9.611111111111109,82.0,4.184284,251,1005.4191910000001,0.0,0.0,0.0
2025-04-13 00:34:48,9.5,82.8,5.63269,224,1005.4191910000001,0.0,0.0,0.0
2025-04-13 00:39:45,9.5,83.0,5.793624,257,1005.080552,0.0,0.0,0.0
2025-04-13 00:44:52,9.555555555555557,83.0,8.368568,224,1005.080552,0.0,0.0,0.0
2025-04-13 00:49:55,9.611111111111109,83.0,9.334171999999999,235,1005.080552,0.0,0.0,0.0
2025-04-13 00:54:56,9.722222222222221,83.0,7.402963999999999,235,1005.080552,0.0,0.0,0.0
2025-04-13 00:59:32,9.722222222222221,83.0,5.471756,238,1005.080552,0.0,0.0,0.0
2025-04-13 01:04:51,9.722222222222221,83.4,3.7014819999999995,264,1005.080552,0.0,0.0,0.0
2025-04-13 01:09:50,9.777777777777779,84.4,4.667085999999999,244,1005.080552,0.0,0.0,0.0
2025-04-13 01:14:57,9.777777777777779,85.6,5.63269,238,1005.080552,0.0,0.0,0.0
2025-04-13 01:19:34,9.777777777777779,86.6,7.724831999999999,239,1005.080552,0.0,0.0,0.0
2025-04-13 01:24:51,9.722222222222221,87.0,6.276426,230,1004.7419130000001,0.0,0.0,0.0
2025-04-13 01:29:50,9.666666666666666,87.5,7.24203,234,1005.080552,0.0,0.0,0.0
2025-04-13 01:34:58,9.611111111111109,88.0,6.9201619999999995,234,1005.080552,0.0,0.0,0.0
2025-04-13 01:39:47,9.5,88.0,7.402963999999999,234,1005.080552,0.0,0.0,0.0
2025-04-13 01:44:50,9.5,88.0,6.276426,258,1004.7419130000001,0.0,0.0,0.0
2025-04-13 01:49:49,9.5,88.4,8.207633999999999,238,1004.7419130000001,0.0,0.0,0.0
